Group,Movie,HoleNumber
grpD,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,57863
grpC,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,27852
grpB,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,59859
grpC,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,13786
grpD,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,81217
grpB,m121005_210848_42142_c100376662550000001523029810101286_s2_p0,45041
grpA,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,68098
grpC,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,28276
grpD,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,5427
grpD,m121005_210848_42142_c100376662550000001523029810101286_s2_p0,17227
grpA,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,52328
grpB,m121005_210848_42142_c100376662550000001523029810101286_s2_p0,79655
grpA,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,80168
grpC,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,42546
grpC,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,30276
grpC,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,37436
grpD,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,47817
grpA,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,7444
grpA,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,58620
grpC,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,33946
grpB,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,30195
grpD,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,42437
grpD,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,15557
grpD,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,75537
grpD,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,54693
grpD,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,7823
grpA,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,57338
grpB,m121005_210848_42142_c100376662550000001523029810101286_s2_p0,60875
grpB,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,62509
grpC,m121005_210848_42142_c100376662550000001523029810101286_s2_p0,15216
grpA,m121005_190843_42142_c100376662550000001523029810101285_s1_p0,15690
grpA,m121005_190843_42142_c100376662550000001523029810101285_s2_p0,38570
grpB,m121005_210848_42142_c100376662550000001523029810101286_s2_p0,46509
grpA,m121005_210848_42142_c100376662550000001523029810101286_s1_p0,80924
